

lambda(m), Y
4.68521e-07, 6.95924e-16
4.67836e-07, 4.7835e-16
4.67153e-07, 3.27298e-16
4.66472e-07, 2.22907e-16
4.65793e-07, 1.51098e-16
4.65116e-07, 1.01933e-16
4.64441e-07, 6.84334e-17
4.63768e-07, 4.57175e-17
4.63097e-07, 3.03898e-17
4.62428e-07, 2.00988e-17
4.6176e-07, 1.32245e-17
4.61095e-07, 8.65604e-18
4.60432e-07, 5.63582e-18
4.5977e-07, 3.64971e-18
4.5911e-07, 2.35065e-18
4.58453e-07, 1.5056e-18
4.57797e-07, 9.58926e-19
4.57143e-07, 6.07266e-19
4.56491e-07, 3.82342e-19
4.5584e-07, 2.39313e-19
4.55192e-07, 1.48896e-19
4.54545e-07, 9.20789e-20
4.53901e-07, 5.65924e-20
4.53258e-07, 3.45648e-20
4.52617e-07, 2.09771e-20
4.51977e-07, 1.26488e-20
4.5134e-07, 7.57712e-21
4.50704e-07, 4.5088e-21
4.5007e-07, 2.66486e-21
4.49438e-07, 1.56422e-21
4.48808e-07, 9.11772e-22
4.48179e-07, 5.27701e-22
4.47552e-07, 3.03217e-22
4.46927e-07, 1.72955e-22
4.46304e-07, 9.79211e-23
4.45682e-07, 5.5021e-23
4.45063e-07, 3.06787e-23
4.44444e-07, 1.69725e-23
4.43828e-07, 9.31541e-24
4.43213e-07, 5.07161e-24
4.426e-07, 2.73854e-24
4.41989e-07, 1.46644e-24
4.41379e-07, 7.78612e-25
4.40771e-07, 4.09851e-25
4.40165e-07, 2.13854e-25
4.3956e-07, 1.10593e-25
4.38957e-07, 5.66757e-26
4.38356e-07, 2.87776e-26
4.37756e-07, 1.44754e-26
4.37158e-07, 7.21207e-27
4.36562e-07, 3.5585e-27
4.35967e-07, 1.73853e-27
4.35374e-07, 8.40867e-28
4.34783e-07, 4.02559e-28
4.34193e-07, 1.90726e-28
4.33604e-07, 8.9411e-29
4.33018e-07, 4.14658e-29
4.32432e-07, 1.90206e-29
4.31849e-07, 8.62799e-30
4.31267e-07, 3.86955e-30
4.30686e-07, 1.71549e-30
4.30108e-07, 7.51625e-31
4.2953e-07, 3.25394e-31
4.28954e-07, 1.39161e-31
4.2838e-07, 5.87799e-32
4.27807e-07, 2.45158e-32
4.27236e-07, 1.00941e-32
4.26667e-07, 4.10194e-33
4.26099e-07, 1.64478e-33
4.25532e-07, 6.50603e-34
4.24967e-07, 2.53806e-34
4.24403e-07, 9.76234e-35
4.23841e-07, 3.70131e-35
4.2328e-07, 1.3829e-35
4.22721e-07, 5.09022e-36
4.22164e-07, 1.84531e-36
4.21607e-07, 6.58667e-37
4.21053e-07, 2.31416e-37
4.20499e-07, 8.00056e-38
4.19948e-07, 2.72089e-38
4.19397e-07, 9.09971e-39
4.18848e-07, 2.99176e-39
4.18301e-07, 9.66635e-40
4.17755e-07, 3.06822e-40
4.1721e-07, 9.56411e-41
4.16667e-07, 2.92672e-41
4.16125e-07, 8.78893e-42
4.15584e-07, 2.58907e-42
4.15045e-07, 7.47889e-43
4.14508e-07, 2.11759e-43
4.13972e-07, 5.87465e-44
4.13437e-07, 1.59616e-44
4.12903e-07, 4.24558e-45
4.12371e-07, 1.10503e-45
4.1184e-07, 2.81315e-46
4.11311e-07, 7.00151e-47
4.10783e-07, 1.7028e-47
4.10256e-07, 4.04483e-48
4.09731e-07, 9.37954e-49
4.09207e-07, 2.1222e-49
4.08685e-07, 4.68261e-50
4.08163e-07, 1.00705e-50
4.07643e-07, 2.10976e-51
4.07125e-07, 4.30317e-52
4.06607e-07, 8.54012e-53
4.06091e-07, 1.64816e-53
4.05577e-07, 3.09119e-54
4.05063e-07, 5.6308e-55
4.04551e-07, 9.95519e-56
4.0404e-07, 1.70716e-56
4.03531e-07, 2.83755e-57
4.03023e-07, 4.56829e-58
4.02516e-07, 7.11851e-59
4.0201e-07, 1.07282e-59
4.01506e-07, 1.56254e-60
4.01003e-07, 2.19767e-61
4.00501e-07, 2.9824e-62
4e-07, 3.90195e-63



